term,raw_count_domain,category,bert_token_count,bert_tokens,llama4_token_count,llama4_tokens,gemma4_token_count,gemma4_tokens,openai_token_count,openai_tokens,mistral_token_count,mistral_tokens
andfuel,1,2,3,and | ##fu | ##el,2,and | fuel,2,and | fuel,2,and | fuel,3,and | f | uel
pawlpin,1,2,3,paw | ##lp | ##in,4,p | aw | l | pin,3,paw | l | pin,3,paw | l | pin,4,p | aw | l | pin
paneldoor,1,2,2,panel | ##door,2,panel | door,2,panel | door,2,panel | door,2,panel | door
arbox,1,2,2,ar | ##box,2,ar | box,2,ar | box,2,ar | box,1,arbox
teflonseal,1,2,4,te | ##fl | ##ons | ##eal,4,te | flon | se | al,4,te | fl | on | seal,4,te | fl | onse | al,5,te | fl | on | se | al
transportstand,1,2,3,transports | ##tan | ##d,2,transport | stand,2,transport | stand,2,transport | stand,2,transport | stand
ingiter,1,2,2,ing | ##iter,2,ing | iter,2,ing | iter,2,ing | iter,2,ing | iter
dispatch,3,2,1,dispatch,1,dispatch,1,dispatch,1,dispatch,1,dispatch
honeycomb,2,2,2,honey | ##comb,3,h | oney | comb,2,honey | comb,3,h | oney | comb,3,h | oney | comb
cleavis,1,2,3,cl | ##ea | ##vis,2,cle | avis,2,cle | avis,2,cle | avis,2,cle | avis
blde,1,2,2,b | ##lde,2,bl | de,2,b | lde,2,b | lde,2,b | lde
hydrolic,1,2,2,hydro | ##lic,2,hydro | lic,2,hydro | lic,3,hyd | ro | lic,2,hydro | lic
helicoil,1,2,4,he | ##lic | ##oi | ##l,3,he | lico | il,2,helic | oil,3,he | lico | il,3,he | lico | il
fuelsystem,1,2,3,fuels | ##yst | ##em,3,fu | els | ystem,2,fuels | ystem,3,fu | els | ystem,3,fu | els | ystem
toolmark,1,2,2,tool | ##mark,2,tool | mark,2,tool | mark,2,tool | mark,2,tool | mark
lockring,1,2,2,lock | ##ring,2,lock | ring,2,lock | ring,2,lock | ring,2,lock | ring
centerlink,1,2,2,center | ##link,2,center | link,2,center | link,2,center | link,2,center | link
nose,3,2,1,nose,1,nose,1,nose,1,nose,2,n | ose
blending,2,2,1,blending,2,bl | ending,2,bl | ending,2,bl | ending,2,bl | ending
inservice,1,2,4,ins | ##er | ##vic | ##e,2,in | service,2,ins | ervice,2,in | service,2,ins | ervice
viton,1,2,2,vito | ##n,2,vit | on,2,vit | on,2,vit | on,2,vit | on
vibro,1,2,2,vi | ##bro,3,v | ib | ro,2,vib | ro,3,v | ib | ro,3,v | ib | ro
pressurisation,1,2,3,press | ##uri | ##sation,3,press | ur | isation,3,press | ur | isation,3,press | ur | isation,3,press | ur | isation
cavitation,1,2,3,ca | ##vita | ##tion,3,c | av | itation,2,cav | itation,3,c | av | itation,3,c | av | itation
birdcage,1,2,3,bird | ##ca | ##ge,3,bird | c | age,2,bird | cage,3,bird | c | age,3,bird | c | age
vanes,1,2,2,vane | ##s,2,van | es,2,van | es,2,van | es,2,van | es
placard,1,2,3,pl | ##aca | ##rd,2,plac | ard,2,plac | ard,2,plac | ard,3,pl | ac | ard
electrode,1,2,1,electrode,2,elect | rode,1,electrode,2,elect | rode,2,elect | rode
mag,1,2,1,mag,1,mag,1,mag,1,mag,1,mag
lok,1,2,1,lok,1,lok,1,lok,1,lok,1,lok
cycles,1,2,1,cycles,1,cycles,1,cycles,1,cycles,1,cycles
butterfly,1,2,1,butterfly,3,but | ter | fly,1,butterfly,3,but | ter | fly,3,but | ter | fly
clevis,66,2,3,cl | ##ev | ##is,2,cle | vis,2,cle | vis,2,cle | vis,3,c | lev | is
vane,590,2,1,vane,2,v | ane,2,v | ane,2,v | ane,2,v | ane
coking,166,2,2,co | ##king,2,c | oking,2,c | oking,2,c | oking,2,c | oking
stator,72,2,2,stat | ##or,2,st | ator,2,st | ator,2,st | ator,2,st | ator
axial,178,2,1,axial,1,axial,1,axial,2,ax | ial,1,axial
pneumatic,83,2,3,p | ##ne | ##umatic,3,p | ne | umatic,2,pneum | atic,3,p | ne | umatic,3,p | ne | umatic
penetrant,15,2,3,pen | ##et | ##rant,2,penet | rant,2,penet | rant,2,penetr | ant,3,pen | et | rant
radial,79,2,1,radial,2,rad | ial,1,radial,2,rad | ial,2,rad | ial
combustion,32,2,1,combustion,2,comb | ustion,2,comb | ustion,3,comb | ust | ion,3,comb | ust | ion
solenoid,6,2,3,sole | ##no | ##id,3,s | olen | oid,3,sol | en | oid,2,sol | enoid,2,sol | enoid
gasket,5,2,3,gas | ##ke | ##t,2,g | asket,2,g | asket,2,g | asket,2,g | asket
shim,6,2,2,shi | ##m,2,sh | im,1,shim,1,shim,2,sh | im
benchwork,2,2,2,bench | ##work,2,bench | work,2,bench | work,2,bench | work,2,bench | work
unpreserved,2,2,3,un | ##pres | ##erved,3,un | pres | erved,2,un | preserved,3,un | pres | erved,3,un | pres | erved
resonance,6,2,1,resonance,2,res | onance,1,resonance,3,res | on | ance,2,res | onance
trim,6,2,1,trim,1,trim,1,trim,1,trim,1,trim
bonding,4,2,1,bonding,2,bond | ing,1,bonding,2,bond | ing,2,bond | ing
fretting,2,2,3,fr | ##etti | ##ng,2,fre | tting,3,f | rett | ing,2,fre | tting,3,f | rett | ing
elastomer,2,2,4,el | ##ast | ##ome | ##r,3,el | ast | omer,2,elast | omer,3,el | ast | omer,3,el | ast | omer
multicrack,1,2,3,multi | ##cr | ##ack,3,mult | ic | rack,3,mult | ic | rack,3,mult | ic | rack,3,mult | ic | rack
valvelock,1,2,2,valve | ##lock,3,val | vel | ock,3,val | vel | ock,3,val | vel | ock,3,val | vel | ock
bearingmovement,1,2,4,bearing | ##mo | ##ve | ##ment,3,b | earing | movement,2,bearing | movement,2,bearing | movement,4,b | earing | mov | ement
assymount,1,2,3,ass | ##ym | ##ount,3,ass | ym | ount,3,ass | ym | ount,3,ass | ym | ount,3,ass | ym | ount
linkbearing,1,2,3,link | ##be | ##aring,3,link | b | earing,2,link | bearing,2,link | bearing,3,link | b | earing
limitoil,1,2,3,limit | ##oi | ##l,3,lim | ito | il,3,lim | ito | il,3,lim | ito | il,3,lim | ito | il
blended,3,2,1,blended,2,bl | ended,2,bl | ended,2,bl | ended,2,bl | ended
clampshell,1,2,3,cl | ##amps | ##hell,3,cl | amps | hell,2,clamps | hell,3,cl | amps | hell,3,clam | ps | hell
splitline,1,2,2,split | ##line,2,split | line,2,split | line,2,split | line,2,split | line
impingement,1,2,3,imp | ##inge | ##ment,3,imp | ing | ement,3,imp | ing | ement,3,imp | ing | ement,3,im | ping | ement
micrometer,1,2,2,micro | ##meter,2,mic | rometer,2,mic | rometer,2,mic | rometer,3,mic | rom | eter
burner,1,2,2,burn | ##er,2,burn | er,1,burner,2,burn | er,2,burn | er
grounding,1,2,2,ground | ##ing,2,ground | ing,2,ground | ing,2,ground | ing,2,ground | ing
composite,1,2,1,composite,1,composite,1,composite,2,com | posite,2,com | posite
nondestructive,68,2,4,non | ##des | ##truct | ##ive,3,n | ond | estructive,3,n | ond | estructive,4,n | ond | estruct | ive,4,n | ond | estruct | ive
innerskin,6,2,2,inner | ##skin,2,inners | kin,3,in | ners | kin,2,inners | kin,2,inners | kin
datum,26,2,2,dat | ##um,1,datum,1,datum,1,datum,1,datum
regulator,59,2,1,regulator,2,reg | ulator,2,reg | ulator,2,reg | ulator,2,reg | ulator
lubrication,18,2,3,lu | ##bri | ##cation,3,lub | ric | ation,3,lub | ric | ation,3,lub | ric | ation,3,lub | ric | ation
ecxiter,3,2,3,ec | ##xi | ##ter,2,ecx | iter,3,ec | x | iter,3,ec | x | iter,2,ecx | iter
insulator,8,2,2,ins | ##ulator,2,ins | ulator,2,ins | ulator,2,ins | ulator,2,ins | ulator
differential,22,2,1,differential,2,d | ifferential,1,differential,3,d | iffer | ential,3,d | iffer | ential
anodisation,2,2,3,an | ##od | ##isation,3,an | od | isation,3,an | od | isation,3,an | od | isation,3,an | od | isation
anodized,4,2,3,an | ##od | ##ized,3,an | od | ized,3,an | od | ized,3,an | od | ized,3,an | od | ized
polytetrafluoroethylene,3,2,8,poly | ##tet | ##raf | ##lu | ##oro | ##eth | ##yle | ##ne,6,pol | yt | etra | flu | oro | ethylene,5,pol | yt | etra | fluoro | ethylene,6,pol | yt | etra | flu | oro | ethylene,5,pol | ytet | ra | fluoro | ethylene
delamination,3,2,3,del | ##amina | ##tion,2,del | amination,2,del | amination,2,del | amination,2,del | amination
transmission,12,2,1,transmission,2,trans | mission,1,transmission,2,trans | mission,2,trans | mission
fillet,2,2,2,fill | ##et,2,fil | let,2,fil | let,2,fil | let,2,fil | let
hyudraulic,1,2,5,h | ##yu | ##dra | ##uli | ##c,3,hy | ud | raulic,3,hy | ud | raulic,3,hy | ud | raulic,4,hy | ud | raul | ic
sumpflow,1,2,3,sum | ##pf | ##low,3,s | ump | flow,3,sum | p | flow,3,s | ump | flow,3,sum | p | flow
unservceable,1,2,5,un | ##ser | ##vc | ##ea | ##ble,4,un | serv | ce | able,4,un | serv | ce | able,4,un | serv | ce | able,4,un | serv | ce | able
deflectorplate,1,2,4,def | ##le | ##ctor | ##plate,3,def | lector | plate,3,def | lector | plate,3,def | lector | plate,4,def | lect | or | plate
fueltube,1,2,3,fuel | ##tub | ##e,3,fu | elt | ube,2,fuel | tube,3,fu | elt | ube,3,fu | elt | ube
suspensionpoint,1,2,2,suspension | ##point,3,s | uspension | point,3,susp | ension | point,4,s | usp | ension | point,4,s | usp | ension | point
drainplug,1,2,3,drain | ##pl | ##ug,3,d | rain | plug,2,drain | plug,3,dr | ain | plug,3,d | rain | plug
desiccant,1,2,4,des | ##ic | ##can | ##t,3,des | ic | cant,3,des | ic | cant,3,des | icc | ant,3,des | icc | ant
driveshaft,1,2,3,drives | ##ha | ##ft,3,dr | ives | haft,3,d | rives | haft,3,dr | ives | haft,3,dr | ives | haft
cadmium,1,2,2,cad | ##mium,2,cad | mium,2,cad | mium,2,cad | mium,2,cad | mium
mechanical,1,2,1,mechanical,2,me | chanical,1,mechanical,2,mechan | ical,2,me | chanical
circuit,1,2,1,circuit,1,circuit,1,circuit,2,c | ircuit,2,circ | uit
flange,349,2,2,fl | ##ange,2,fl | ange,2,fl | ange,2,fl | ange,2,fl | ange
nozzle,343,2,2,no | ##zzle,2,no | zzle,2,no | zzle,2,no | zzle,2,no | zzle
anodization,29,2,3,an | ##od | ##ization,3,an | od | ization,3,an | od | ization,3,an | od | ization,3,an | od | ization
deflector,49,2,3,def | ##le | ##ctor,2,def | lector,2,def | lector,2,def | lector,3,def | lect | or
anodize,11,2,3,an | ##od | ##ize,3,an | od | ize,3,an | od | ize,3,an | od | ize,3,an | od | ize
strut,92,2,2,st | ##rut,2,str | ut,2,str | ut,2,str | ut,2,str | ut
clearance,218,2,1,clearance,2,clear | ance,2,clear | ance,2,clear | ance,2,clear | ance
actuator,18,2,3,act | ##ua | ##tor,2,act | uator,2,act | uator,2,act | uator,3,act | u | ator
reinspection,6,2,3,reins | ##pe | ##ction,2,re | inspection,2,re | inspection,2,re | inspection,3,re | ins | pection
arcing,10,2,2,arc | ##ing,2,ar | cing,2,ar | cing,2,ar | cing,2,ar | cing
isolator,5,2,3,iso | ##lat | ##or,2,isol | ator,2,isol | ator,2,isol | ator,2,isol | ator
pretwist,2,2,4,pre | ##t | ##wi | ##st,3,pret | w | ist,2,pre | twist,2,pret | wist,3,pret | w | ist
sealant,5,2,2,seal | ##ant,3,se | al | ant,2,seal | ant,2,seal | ant,3,se | al | ant
corossion,2,2,3,co | ##ross | ##ion,3,cor | oss | ion,3,cor | oss | ion,3,cor | oss | ion,3,cor | oss | ion
transmitter,15,2,1,transmitter,2,trans | mitter,1,transmitter,2,trans | mitter,2,trans | mitter
coupling,7,2,1,coupling,2,c | oupling,1,coupling,2,cou | pling,2,cou | pling
dampeners,2,2,3,damp | ##ener | ##s,3,d | amp | eners,3,d | amp | eners,3,d | amp | eners,3,d | amp | eners
burr,5,2,1,burr,2,b | urr,2,bur | r,2,b | urr,2,b | urr
reducer,2,2,2,reduce | ##r,2,re | ducer,1,reducer,2,re | ducer,2,redu | cer
toque,2,2,2,to | ##que,2,to | que,2,to | que,2,to | que,2,to | que
benchcheck,1,2,3,bench | ##che | ##ck,2,bench | check,2,bench | check,2,bench | check,2,bench | check
rubberdampener,1,2,4,rubber | ##dam | ##pen | ##er,5,rub | ber | d | amp | ener,4,rubber | d | amp | ener,5,rub | ber | d | amp | ener,4,rub | berd | amp | ener
ignitionsystem,1,2,4,ignition | ##sy | ##ste | ##m,3,ign | itions | ystem,3,ign | itions | ystem,3,ign | itions | ystem,3,ign | itions | ystem
coatingpitting,1,2,3,coating | ##pit | ##ting,4,co | ating | p | itting,3,coating | p | itting,4,co | ating | p | itting,4,co | ating | p | itting
overhoal,1,2,3,over | ##ho | ##al,3,over | ho | al,3,over | ho | al,3,over | ho | al,3,over | ho | al
nzzl,1,2,3,nz | ##z | ##l,3,n | zz | l,3,n | zz | l,3,n | zz | l,3,n | zz | l
lockspacer,1,2,3,locks | ##pace | ##r,3,lock | sp | acer,2,lock | spacer,3,lock | sp | acer,3,lock | sp | acer
sealmaterial,1,2,3,seal | ##mate | ##rial,3,se | alm | aterial,2,seal | material,3,se | alm | aterial,3,se | al | material
cumbustion,1,2,3,cum | ##bus | ##tion,3,c | umb | ustion,3,c | umb | ustion,4,c | umb | ust | ion,4,c | umb | ust | ion
labyrith,1,2,3,lab | ##yr | ##ith,3,lab | yr | ith,3,l | aby | rith,3,lab | yr | ith,3,lab | yr | ith
harnesse,1,2,2,harness | ##e,3,h | arn | esse,3,h | arn | esse,3,h | arn | esse,3,h | arn | esse
excitor,1,2,3,ex | ##cit | ##or,2,exc | itor,2,exc | itor,2,exc | itor,2,exc | itor
actuation,1,2,2,act | ##uation,2,act | uation,2,act | uation,2,act | uation,2,act | uation
couplings,1,2,2,coupling | ##s,2,cou | plings,2,cou | plings,2,cou | plings,3,cou | pl | ings
concentric,1,2,2,con | ##centric,2,con | centric,2,con | centric,2,con | centric,3,con | cent | ric
deformation,1,2,1,deformation,2,de | formation,1,deformation,2,de | formation,2,de | formation
static,1,2,1,static,1,static,1,static,1,static,1,static
exciter,351,2,3,ex | ##cite | ##r,2,exc | iter,2,exc | iter,2,exc | iter,2,exc | iter
excentricity,41,2,3,ex | ##centric | ##ity,3,ex | centric | ity,3,ex | centric | ity,3,ex | centric | ity,4,ex | cent | ric | ity
hydr,37,2,3,h | ##yd | ##r,2,hyd | r,2,hyd | r,1,hydr,2,hyd | r
hydromechanical,50,2,4,hydro | ##me | ##chan | ##ical,2,hyd | romechanical,2,hyd | romechanical,3,hyd | rome | chanical,3,hyd | rome | chanical
compressor,454,2,1,compressor,2,compress | or,2,compress | or,2,compress | or,3,com | press | or
altenator,13,2,3,alt | ##ena | ##tor,2,alten | ator,2,alten | ator,2,alten | ator,2,alten | ator
shroud,192,2,2,sh | ##roud,2,sh | roud,2,sh | roud,2,sh | roud,3,sh | ro | ud
lug,137,2,2,lu | ##g,1,lug,1,lug,1,lug,1,lug
valve,618,2,1,valve,2,val | ve,1,valve,2,val | ve,2,val | ve
debonding,16,2,3,de | ##bon | ##ding,3,deb | ond | ing,3,deb | ond | ing,3,deb | ond | ing,3,deb | ond | ing
corrosion,132,2,1,corrosion,2,cor | rosion,2,cor | rosion,2,cor | rosion,2,cor | rosion
filterbowl,6,2,3,filter | ##bow | ##l,3,filter | b | owl,2,filter | bowl,3,filter | b | owl,3,filter | bow | l
seal,465,2,1,seal,2,se | al,1,seal,1,seal,2,se | al
circumferential,30,2,5,ci | ##rc | ##um | ##fer | ##ential,3,circ | um | ferential,3,circum | fer | ential,4,circ | um | fer | ential,4,circ | um | fer | ential
alternator,34,2,2,alter | ##nator,2,altern | ator,2,altern | ator,2,altern | ator,2,altern | ator
stopnut,5,2,2,stop | ##nut,2,stop | nut,2,stop | nut,2,stop | nut,2,stop | nut
erosion,161,2,1,erosion,2,eros | ion,1,erosion,2,eros | ion,2,eros | ion
bolthead,6,2,2,bolt | ##head,2,bol | thead,2,bol | thead,2,bol | thead,2,bol | thead
bulletin,169,2,1,bulletin,2,bullet | in,2,bullet | in,2,bullet | in,2,bullet | in
convex,63,2,1,convex,1,convex,1,convex,2,conv | ex,2,con | vex
torque,51,2,1,torque,2,tor | que,1,torque,2,tor | que,2,tor | que
pitting,30,2,2,pitt | ##ing,2,p | itting,2,p | itting,2,p | itting,2,p | itting
inlet,57,2,1,inlet,2,in | let,2,in | let,2,in | let,2,in | let
boot,63,2,1,boot,1,boot,1,boot,1,boot,1,boot
nut,37,2,1,nut,1,nut,1,nut,1,nut,1,nut
supplytube,3,2,3,supply | ##tub | ##e,3,supply | t | ube,2,supply | tube,3,s | upply | tube,3,supp | ly | tube
ballbearing,4,2,3,ball | ##be | ##aring,3,ball | b | earing,2,ball | bearing,2,ball | bearing,3,ball | b | earing
magnetic,63,2,1,magnetic,2,m | agnetic,1,magnetic,2,mag | netic,2,m | agnetic
bushings,8,2,2,bush | ##ings,2,bush | ings,2,bush | ings,3,b | ush | ings,3,b | ush | ings
nipple,11,2,1,nipple,2,nip | ple,2,ni | pple,2,n | ipple,3,n | ip | ple
excit,3,2,2,ex | ##cit,2,ex | cit,2,ex | cit,2,ex | cit,2,ex | cit
rivet,10,2,2,ri | ##vet,2,riv | et,2,riv | et,2,r | ivet,2,riv | et
receptical,3,2,3,rec | ##ept | ##ical,3,re | cept | ical,3,re | cept | ical,3,re | cept | ical,3,re | cept | ical
swirl,10,2,1,swirl,2,sw | irl,2,sw | irl,2,sw | irl,2,sw | irl
exchanger,9,2,2,exchange | ##r,2,ex | changer,2,ex | changer,2,ex | changer,3,ex | ch | anger
shaft,31,2,1,shaft,1,shaft,1,shaft,1,shaft,1,shaft
contamination,22,2,1,contamination,2,cont | amination,1,contamination,2,cont | amination,2,cont | amination
retainer,11,2,2,retain | ##er,2,ret | ainer,2,retain | er,2,ret | ainer,3,re | tain | er
boltholes,3,2,2,bolt | ##holes,3,bol | th | oles,3,bol | th | oles,3,bol | th | oles,3,bol | th | oles
oxidation,17,2,1,oxidation,2,oxid | ation,1,oxidation,2,oxid | ation,2,oxid | ation
housing,153,2,1,housing,1,housing,1,housing,1,housing,2,h | ousing
skin,58,2,1,skin,1,skin,1,skin,1,skin,1,skin
isolation,26,2,1,isolation,2,is | olation,1,isolation,2,is | olation,2,is | olation
bypass,22,2,1,bypass,2,b | ypass,1,bypass,2,b | ypass,2,b | ypass
groundcable,2,2,2,ground | ##cable,3,ground | c | able,2,ground | cable,3,ground | c | able,3,ground | c | able
hydrulic,2,2,4,h | ##yd | ##ru | ##lic,3,hyd | rul | ic,3,hyd | rul | ic,3,hydr | ul | ic,3,hyd | rul | ic
leverarm,2,2,2,lever | ##arm,2,lever | arm,2,lever | arm,2,lever | arm,2,lever | arm
abradeble,2,2,3,ab | ##rade | ##ble,3,ab | rade | ble,3,ab | rade | ble,3,abr | ade | ble,3,abr | ade | ble
circumcential,2,2,5,ci | ##rc | ##um | ##cent | ##ial,4,circ | um | cent | ial,3,circum | cent | ial,4,circ | um | cent | ial,4,circ | um | cent | ial
spectacle,13,2,1,spectacle,2,spect | acle,2,spect | acle,2,spect | acle,3,s | pect | acle
silicone,7,2,2,silicon | ##e,2,sil | icone,2,sil | icone,2,sil | icone,3,s | ilic | one
cycle,53,2,1,cycle,1,cycle,1,cycle,1,cycle,1,cycle
errosion,2,2,3,er | ##ros | ##ion,2,er | rosion,2,er | rosion,2,er | rosion,2,er | rosion
shealth,2,2,2,shea | ##lth,2,s | health,2,she | alth,2,s | health,2,s | health
resistence,2,2,2,resist | ##ence,2,res | istence,2,res | istence,2,res | istence,2,res | istence
interlock,5,2,2,inter | ##lock,2,inter | lock,2,inter | lock,2,inter | lock,2,inter | lock
specification,15,2,1,specification,2,spec | ification,1,specification,2,spec | ification,2,spec | ification
blad,4,2,2,b | ##lad,1,blad,1,blad,1,blad,1,blad
assembly,114,2,1,assembly,1,assembly,1,assembly,1,assembly,1,assembly
volatile,10,2,1,volatile,1,volatile,1,volatile,1,volatile,1,volatile
oilsystem,2,2,3,oils | ##yst | ##em,3,o | ils | ystem,3,o | ils | ystem,3,o | ils | ystem,3,o | ils | ystem
varnish,5,2,2,var | ##nish,3,var | n | ish,2,varn | ish,3,var | n | ish,3,var | n | ish
tooling,5,2,2,tool | ##ing,2,tool | ing,2,tool | ing,2,tool | ing,2,tool | ing
stud,8,2,1,stud,1,stud,1,stud,1,stud,1,stud
gearboxes,4,2,2,gearbox | ##es,2,gear | boxes,2,gear | boxes,2,gear | boxes,3,ge | ar | boxes
distortion,7,2,1,distortion,2,dist | ortion,1,distortion,2,dist | ortion,2,dist | ortion
fitting,9,2,1,fitting,1,fitting,1,fitting,2,f | itting,2,f | itting
braiding,3,2,2,braid | ##ing,2,bra | iding,2,bra | iding,2,bra | iding,2,bra | iding
dovetail,3,2,2,dove | ##tail,3,d | ov | etail,3,d | ov | etail,3,d | ov | etail,3,d | ov | etail
boss,12,2,1,boss,1,boss,1,boss,1,boss,1,boss
disassembly,3,2,5,di | ##sas | ##se | ##mb | ##ly,2,dis | assembly,2,dis | assembly,2,dis | assembly,2,dis | assembly
overhaul,6,2,1,overhaul,2,over | haul,2,over | haul,2,over | haul,2,over | haul
axle,5,2,1,axle,2,ax | le,2,ax | le,2,ax | le,2,ax | le
elongation,3,2,3,el | ##onga | ##tion,2,elong | ation,2,elong | ation,2,elong | ation,2,elong | ation
brading,2,2,2,brad | ##ing,2,br | ading,2,br | ading,2,br | ading,2,br | ading
deflection,3,2,3,def | ##le | ##ction,2,def | lection,2,def | lection,2,def | lection,2,def | lection
craze,3,2,3,cr | ##az | ##e,2,cra | ze,2,cra | ze,2,cra | ze,3,c | ra | ze
tubing,3,2,2,tub | ##ing,2,tub | ing,2,tub | ing,3,t | ub | ing,3,t | ub | ing
busing,2,2,2,bus | ##ing,2,b | using,2,b | using,2,b | using,2,b | using
dampen,2,2,2,damp | ##en,3,d | amp | en,3,d | amp | en,2,d | ampen,3,d | amp | en
altinator,1,2,2,alt | ##inator,2,alt | inator,2,alt | inator,2,alt | inator,2,alt | inator
damperner,1,2,3,damp | ##ern | ##er,3,dam | per | ner,3,dam | per | ner,3,dam | per | ner,3,dam | per | ner
bearring,1,2,2,bear | ##ring,2,bear | ring,2,bear | ring,2,bear | ring,3,b | ear | ring
ignitiom,1,2,3,ign | ##iti | ##om,3,ign | iti | om,3,ign | iti | om,3,ign | iti | om,3,ign | iti | om
pmeumatic,1,2,3,pm | ##eum | ##atic,3,p | me | umatic,3,p | me | umatic,3,p | me | umatic,3,p | me | umatic
turnbuckel,1,2,3,turn | ##buck | ##el,3,turn | buck | el,3,turn | buck | el,3,turn | buck | el,3,turn | buck | el
hydrualic,1,2,4,h | ##yd | ##ru | ##alic,3,hyd | rual | ic,3,hyd | ru | alic,3,hydr | ual | ic,4,hyd | ru | al | ic
fuelhose,1,2,3,fuel | ##hos | ##e,3,fuel | h | ose,2,fuel | hose,2,fuel | hose,4,f | uel | h | ose
preumatic,1,2,2,pre | ##umatic,2,pre | umatic,2,pre | umatic,2,pre | umatic,2,pre | umatic
oilsensor,1,2,3,oils | ##ens | ##or,3,o | ils | ensor,3,o | ils | ensor,3,o | ils | ensor,3,o | ils | ensor
coatingparent,1,2,3,coating | ##par | ##ent,3,co | ating | parent,2,coating | parent,3,co | ating | parent,3,co | ating | parent
draintube,1,2,3,drain | ##tub | ##e,3,d | raint | ube,3,d | raint | ube,3,d | raint | ube,3,d | raint | ube
ecentricity,1,2,4,ec | ##ent | ##ric | ##ity,3,ec | entric | ity,3,ec | entric | ity,3,ec | entric | ity,3,ec | entric | ity
exentricitie,1,2,5,ex | ##ent | ##ric | ##iti | ##e,3,ex | entric | itie,3,ex | entric | itie,3,ex | entric | itie,3,ex | entric | itie
exentric,1,2,3,ex | ##ent | ##ric,2,ex | entric,2,ex | entric,2,ex | entric,2,ex | entric
dampenere,1,2,3,damp | ##ener | ##e,4,d | amp | en | ere,4,d | amp | en | ere,3,d | ampen | ere,4,d | amp | en | ere
danpener,1,2,3,dan | ##pen | ##er,3,dan | p | ener,3,dan | p | ener,3,dan | p | ener,3,dan | p | ener
heatexchanger,1,2,4,heat | ##ex | ##chang | ##er,3,he | atex | changer,4,he | ate | x | changer,3,he | atex | changer,5,he | ate | x | ch | anger
wornball,1,2,2,worn | ##ball,3,w | orn | ball,2,worn | ball,3,w | orn | ball,3,w | orn | ball
vlave,1,2,3,v | ##lav | ##e,2,vl | ave,2,vl | ave,2,vl | ave,2,vl | ave
sulpidation,1,2,3,sul | ##pid | ##ation,3,sul | pid | ation,3,sul | pid | ation,4,s | ulp | id | ation,4,s | ulp | id | ation
connctor,1,2,3,con | ##nc | ##tor,2,conn | ctor,2,conn | ctor,2,conn | ctor,2,conn | ctor
bushinghave,1,2,4,bush | ##ing | ##ha | ##ve,3,b | ushing | have,3,b | ushing | have,3,b | ushing | have,3,b | ushing | have
oilpump,1,2,3,oil | ##pu | ##mp,3,oil | p | ump,2,oil | pump,2,oil | pump,4,o | il | p | ump
snapring,1,2,2,snap | ##ring,2,snap | ring,2,snap | ring,2,snap | ring,3,s | nap | ring
fuelpump,1,2,3,fuel | ##pu | ##mp,3,fuel | p | ump,2,fuel | pump,2,fuel | pump,4,f | uel | p | ump
nozzleste,1,2,3,no | ##zzle | ##ste,4,no | zz | l | este,4,no | zz | l | este,4,no | zz | l | este,4,no | zz | l | este
connectorpin,1,2,2,connector | ##pin,2,connector | pin,2,connector | pin,2,connector | pin,3,con | nector | pin
contactpin,1,2,2,contact | ##pin,2,contact | pin,2,contact | pin,2,contact | pin,2,contact | pin
ignigion,1,2,3,ign | ##ig | ##ion,2,ign | igion,2,ign | igion,2,ign | igion,2,ign | igion
balbearing,1,2,3,bal | ##be | ##aring,3,bal | b | earing,2,bal | bearing,2,bal | bearing,3,bal | b | earing
adilution,1,2,3,adi | ##lu | ##tion,2,adil | ution,2,adil | ution,2,adil | ution,2,adil | ution
beyondlimits,1,2,3,beyond | ##lim | ##its,3,b | eyond | limits,2,beyond | limits,3,b | eyond | limits,3,be | yond | limits
exhasut,1,2,3,ex | ##has | ##ut,3,ex | has | ut,3,ex | has | ut,3,ex | has | ut,3,ex | has | ut
mountbearing,1,2,3,mount | ##be | ##aring,3,mount | b | earing,2,mount | bearing,2,mount | bearing,3,mount | b | earing
harnee,1,2,3,ha | ##rne | ##e,2,har | nee,2,har | nee,2,har | nee,2,har | nee
pressswitch,1,2,3,press | ##sw | ##itch,2,press | switch,2,press | switch,2,press | switch,2,press | switch
systeminsp,1,2,3,system | ##ins | ##p,3,system | in | sp,2,system | insp,2,system | insp,3,system | ins | p
mamifold,1,2,3,ma | ##mi | ##fold,2,mam | ifold,2,mam | ifold,2,mam | ifold,3,mam | if | old
barrelnut,1,2,2,barrel | ##nut,4,bar | re | ln | ut,2,barrel | nut,4,bar | re | ln | ut,3,bar | rel | nut
fillcap,1,2,2,fill | ##cap,2,fill | cap,2,fill | cap,2,fill | cap,2,fill | cap
sulphidication,1,2,3,sul | ##phi | ##dication,4,sul | ph | id | ication,3,sulph | id | ication,5,s | ul | ph | id | ication,4,sul | ph | id | ication
pneumatatic,1,2,5,p | ##ne | ##uma | ##tat | ##ic,4,p | ne | umat | atic,3,pneum | at | atic,4,p | ne | umat | atic,4,p | ne | umat | atic
vonvex,1,2,3,von | ##ve | ##x,2,von | vex,2,von | vex,3,von | v | ex,2,von | vex
lockpen,1,2,2,lock | ##pen,2,lock | pen,2,lock | pen,2,lock | pen,2,lock | pen
turnbucle,1,2,3,turn | ##bu | ##cle,3,turn | b | ucle,3,turn | b | ucle,3,turn | b | ucle,3,turn | b | ucle
